"TIME","GEO","S_ADJ","P_ADJ","INDIC","Value","Flag and Footnotes"
"1996M11","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.64",""
"1996M12","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.17",""
"1997M01","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.04",""
"1997M02","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.22",""
"1997M03","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.35",""
"1997M04","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.30",""
"1997M05","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.33",""
"1997M06","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.37",""
"1997M07","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.43",""
"1997M08","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.50",""
"1997M09","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.49",""
"1997M10","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.58",""
"1997M11","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.69",""
"1997M12","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.83",""
"1998M01","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.78",""
"1998M02","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.71",""
"1998M03","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.63",""
"1998M04","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.61",""
"1998M05","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.63",""
"1998M06","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.37",""
"1998M07","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.24",""
"1998M08","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.32",""
"1998M09","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.31",""
"1998M10","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.27",""
"1998M11","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","3.90",""
"1998M12","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","3.60",""
