"TIME","GEO","S_ADJ","P_ADJ","INDIC","Value","Flag and Footnotes"
"2009M11","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.48",""
"2009M12","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.48",""
"2010M01","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.48",""
"2010M02","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.48",""
"2010M03","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.49",""
"2010M04","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.52",""
"2010M05","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.60",""
"2010M06","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.70",""
"2010M07","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.87",""
"2010M08","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.99",""
"2010M09","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.16",""
"2010M10","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.37",""
"2010M11","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.59",""
"2010M12","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.85",""
"2011M01","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.02",""
"2011M02","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.20",""
"2011M03","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.38",""
"2011M04","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.41",""
"2011M05","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.46",""
"2011M06","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.46",""
"2011M07","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.56",""
"2011M08","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.58",""
"2011M09","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.53",""
"2011M10","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.52",""
"2011M11","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.62",""
"2011M12","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.69",""
"2012M01","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.61",""
"2012M02","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.44",""
"2012M03","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.30",""
"2012M04","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.19",""
"2012M05","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.14",""
"2012M06","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.14",""
"2012M07","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.10",""
"2012M08","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.02",""
"2012M09","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.69",""
"2012M10","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.51",""
"2012M11","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.46",""
"2012M12","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.37",""
"2013M01","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.21",""
"2013M02","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.19",""
"2013M03","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.25",""
"2013M04","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.24",""
"2013M05","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.20",""
"2013M06","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.22",""
"2013M07","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.20",""
"2013M08","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.20",""
"2013M09","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.21",""
"2013M10","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.21",""
"2013M11","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.16",""
"2013M12","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.01",""
"2014M01","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.95",""
"2014M02","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.94",""
"2014M03","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.93",""
"2014M04","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.91",""
"2014M05","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.92",""
"2014M06","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.85",""
"2014M07","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.52",""
"2014M08","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.52",""
"2014M09","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.48",""
"2014M10","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.40",""
"2014M11","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.27",""
"2014M12","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.27",""
"2015M01","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.18",""
"2015M02","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.01",""
"2015M03","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.00",""
"2015M04","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.14",""
"2015M05","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.21",""
"2015M06","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.23",""
"2015M07","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.25",""
"2015M08","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.27",""
"2015M09","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.29",""
"2015M10","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.30",""
"2015M11","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.37",""
"2015M12","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.40",""
"2016M01","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.30",""
"2016M02","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.42",""
"2016M03","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.47",""
"2016M04","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.43",""
"2016M05","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.46",""
"2016M06","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.48",""
"2016M07","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.55",""
"2016M08","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.56",""
"2016M09","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.50",""
"2016M10","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.52",""
"2016M11","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.57",""
"2016M12","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.61",""
"2017M01","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.57",""
"2017M02","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.51",""
"2017M03","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.49",""
"2017M04","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.46",""
"2017M05","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.48",""
"2017M06","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.51",""
"2017M07","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.47",""
"2017M08","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.43",""
"2017M09","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.42",""
"2017M10","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.51",""
"2017M11","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.61",""
"2017M12","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.58",""
"2018M01","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.43",""
"2018M02","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.46",""
"2018M03","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.42",""
"2018M04","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.37",""
"2018M05","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.38",""
"2018M06","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.37",""
"2018M07","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.35",""
"2018M08","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.36",""
"2018M09","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.39",""
"2018M10","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.48",""
"2018M11","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.45",""
"2018M12","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.25",""
"2019M01","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.09",""
"2019M02","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.07",""
"2019M03","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.04",""
"2019M04","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.01",""
"2019M05","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.03",""
"2019M06","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.02",""
"2019M07","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.05",""
"2019M08","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.02",""
"2019M09","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.02",""
"2019M10","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","-0.07",""
"2019M11","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.05",""
"2019M12","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","0.06",""
